unique_id,ds,y
world_bank_pink_sheet_monthly_arabica,1968-08-01,0.87
world_bank_pink_sheet_monthly_arabica,1968-09-01,0.85
world_bank_pink_sheet_monthly_arabica,1968-10-01,0.85
world_bank_pink_sheet_monthly_arabica,1968-11-01,0.85
world_bank_pink_sheet_monthly_arabica,1968-12-01,0.83
world_bank_pink_sheet_monthly_arabica,1969-01-01,0.83
world_bank_pink_sheet_monthly_arabica,1969-02-01,0.84
world_bank_pink_sheet_monthly_arabica,1969-03-01,0.83
world_bank_pink_sheet_monthly_arabica,1969-04-01,0.81
world_bank_pink_sheet_monthly_arabica,1969-05-01,0.81
world_bank_pink_sheet_monthly_arabica,1969-06-01,0.8
world_bank_pink_sheet_monthly_arabica,1969-07-01,0.78
world_bank_pink_sheet_monthly_arabica,1969-08-01,0.81
world_bank_pink_sheet_monthly_arabica,1969-09-01,0.9
world_bank_pink_sheet_monthly_arabica,1969-10-01,1.04
world_bank_pink_sheet_monthly_arabica,1969-11-01,1.02
world_bank_pink_sheet_monthly_arabica,1969-12-01,1.05
world_bank_pink_sheet_monthly_arabica,1970-01-01,1.14
world_bank_pink_sheet_monthly_arabica,1970-02-01,1.15
world_bank_pink_sheet_monthly_arabica,1970-03-01,1.17
world_bank_pink_sheet_monthly_arabica,1970-04-01,1.2
world_bank_pink_sheet_monthly_arabica,1970-05-01,1.22
world_bank_pink_sheet_monthly_arabica,1970-06-01,1.21
world_bank_pink_sheet_monthly_arabica,1970-07-01,1.21
world_bank_pink_sheet_monthly_arabica,1970-08-01,1.18
world_bank_pink_sheet_monthly_arabica,1970-09-01,1.16
world_bank_pink_sheet_monthly_arabica,1970-10-01,1.12
world_bank_pink_sheet_monthly_arabica,1970-11-01,1.03
world_bank_pink_sheet_monthly_arabica,1970-12-01,0.98
world_bank_pink_sheet_monthly_arabica,1971-01-01,1
world_bank_pink_sheet_monthly_arabica,1971-02-01,0.98
world_bank_pink_sheet_monthly_arabica,1971-03-01,1.01
world_bank_pink_sheet_monthly_arabica,1971-04-01,0.99
world_bank_pink_sheet_monthly_arabica,1971-05-01,1.02
world_bank_pink_sheet_monthly_arabica,1971-06-01,1
world_bank_pink_sheet_monthly_arabica,1971-07-01,0.99
world_bank_pink_sheet_monthly_arabica,1971-08-01,1.01
world_bank_pink_sheet_monthly_arabica,1971-09-01,0.96
world_bank_pink_sheet_monthly_arabica,1971-10-01,0.94
world_bank_pink_sheet_monthly_arabica,1971-11-01,0.97
world_bank_pink_sheet_monthly_arabica,1971-12-01,1.02
world_bank_pink_sheet_monthly_arabica,1972-01-01,0.99
world_bank_pink_sheet_monthly_arabica,1972-02-01,1
world_bank_pink_sheet_monthly_arabica,1972-03-01,1.02
world_bank_pink_sheet_monthly_arabica,1972-04-01,1.01
world_bank_pink_sheet_monthly_arabica,1972-05-01,1.04
world_bank_pink_sheet_monthly_arabica,1972-06-01,1.07
world_bank_pink_sheet_monthly_arabica,1972-07-01,1.24
world_bank_pink_sheet_monthly_arabica,1972-08-01,1.2
world_bank_pink_sheet_monthly_arabica,1972-09-01,1.17
world_bank_pink_sheet_monthly_arabica,1972-10-01,1.18
world_bank_pink_sheet_monthly_arabica,1972-11-01,1.19
world_bank_pink_sheet_monthly_arabica,1972-12-01,1.22
world_bank_pink_sheet_monthly_arabica,1973-01-01,1.28
world_bank_pink_sheet_monthly_arabica,1973-02-01,1.45
world_bank_pink_sheet_monthly_arabica,1973-03-01,1.42
world_bank_pink_sheet_monthly_arabica,1973-04-01,1.29
world_bank_pink_sheet_monthly_arabica,1973-05-01,1.42
world_bank_pink_sheet_monthly_arabica,1973-06-01,1.41
world_bank_pink_sheet_monthly_arabica,1973-07-01,1.36
world_bank_pink_sheet_monthly_arabica,1973-08-01,1.33
world_bank_pink_sheet_monthly_arabica,1973-09-01,1.33
world_bank_pink_sheet_monthly_arabica,1973-10-01,1.38
world_bank_pink_sheet_monthly_arabica,1973-11-01,1.39
world_bank_pink_sheet_monthly_arabica,1973-12-01,1.42
world_bank_pink_sheet_monthly_arabica,1974-01-01,1.53
world_bank_pink_sheet_monthly_arabica,1974-02-01,1.65
world_bank_pink_sheet_monthly_arabica,1974-03-01,1.58
world_bank_pink_sheet_monthly_arabica,1974-04-01,1.55
world_bank_pink_sheet_monthly_arabica,1974-05-01,1.57
world_bank_pink_sheet_monthly_arabica,1974-06-01,1.59
world_bank_pink_sheet_monthly_arabica,1974-07-01,1.52
world_bank_pink_sheet_monthly_arabica,1974-08-01,1.38
world_bank_pink_sheet_monthly_arabica,1974-09-01,1.2
world_bank_pink_sheet_monthly_arabica,1974-10-01,1.25
world_bank_pink_sheet_monthly_arabica,1974-11-01,1.31
world_bank_pink_sheet_monthly_arabica,1974-12-01,1.3
world_bank_pink_sheet_monthly_arabica,1975-01-01,1.23
world_bank_pink_sheet_monthly_arabica,1975-02-01,1.18
world_bank_pink_sheet_monthly_arabica,1975-03-01,1.1
world_bank_pink_sheet_monthly_arabica,1975-04-01,1.05
world_bank_pink_sheet_monthly_arabica,1975-05-01,1.12
world_bank_pink_sheet_monthly_arabica,1975-06-01,1.23
world_bank_pink_sheet_monthly_arabica,1975-07-01,1.45
world_bank_pink_sheet_monthly_arabica,1975-08-01,1.84
world_bank_pink_sheet_monthly_arabica,1975-09-01,1.78
world_bank_pink_sheet_monthly_arabica,1975-10-01,1.77
world_bank_pink_sheet_monthly_arabica,1975-11-01,1.71
world_bank_pink_sheet_monthly_arabica,1975-12-01,1.84
world_bank_pink_sheet_monthly_arabica,1976-01-01,2.05
world_bank_pink_sheet_monthly_arabica,1976-02-01,2.19
world_bank_pink_sheet_monthly_arabica,1976-03-01,2.2
world_bank_pink_sheet_monthly_arabica,1976-04-01,2.7
world_bank_pink_sheet_monthly_arabica,1976-05-01,2.99
world_bank_pink_sheet_monthly_arabica,1976-06-01,3.3
world_bank_pink_sheet_monthly_arabica,1976-07-01,3.03
world_bank_pink_sheet_monthly_arabica,1976-08-01,3.38
world_bank_pink_sheet_monthly_arabica,1976-09-01,3.51
world_bank_pink_sheet_monthly_arabica,1976-10-01,3.82
world_bank_pink_sheet_monthly_arabica,1976-11-01,4.03
world_bank_pink_sheet_monthly_arabica,1976-12-01,4.57
world_bank_pink_sheet_monthly_arabica,1977-01-01,4.83
world_bank_pink_sheet_monthly_arabica,1977-02-01,5.41
world_bank_pink_sheet_monthly_arabica,1977-03-01,6.71
world_bank_pink_sheet_monthly_arabica,1977-04-01,7
world_bank_pink_sheet_monthly_arabica,1977-05-01,6.29
world_bank_pink_sheet_monthly_arabica,1977-06-01,5.78
world_bank_pink_sheet_monthly_arabica,1977-07-01,4.85
world_bank_pink_sheet_monthly_arabica,1977-08-01,4.4
world_bank_pink_sheet_monthly_arabica,1977-09-01,4.18
world_bank_pink_sheet_monthly_arabica,1977-10-01,3.77
world_bank_pink_sheet_monthly_arabica,1977-11-01,4.35
world_bank_pink_sheet_monthly_arabica,1977-12-01,4.47
world_bank_pink_sheet_monthly_arabica,1978-01-01,4.55
world_bank_pink_sheet_monthly_arabica,1978-02-01,4.36
world_bank_pink_sheet_monthly_arabica,1978-03-01,3.86
world_bank_pink_sheet_monthly_arabica,1978-04-01,3.94
world_bank_pink_sheet_monthly_arabica,1978-05-01,3.74
world_bank_pink_sheet_monthly_arabica,1978-06-01,3.71
world_bank_pink_sheet_monthly_arabica,1978-07-01,2.95
world_bank_pink_sheet_monthly_arabica,1978-08-01,3.05
world_bank_pink_sheet_monthly_arabica,1978-09-01,3.42
world_bank_pink_sheet_monthly_arabica,1978-10-01,3.4
world_bank_pink_sheet_monthly_arabica,1978-11-01,3.22
world_bank_pink_sheet_monthly_arabica,1978-12-01,2.89
world_bank_pink_sheet_monthly_arabica,1979-01-01,2.83
world_bank_pink_sheet_monthly_arabica,1979-02-01,2.71
world_bank_pink_sheet_monthly_arabica,1979-03-01,2.87
world_bank_pink_sheet_monthly_arabica,1979-04-01,3.06
world_bank_pink_sheet_monthly_arabica,1979-05-01,3.3
world_bank_pink_sheet_monthly_arabica,1979-06-01,4.26
world_bank_pink_sheet_monthly_arabica,1979-07-01,4.49
world_bank_pink_sheet_monthly_arabica,1979-08-01,4.35
world_bank_pink_sheet_monthly_arabica,1979-09-01,4.57
world_bank_pink_sheet_monthly_arabica,1979-10-01,4.62
world_bank_pink_sheet_monthly_arabica,1979-11-01,4.56
world_bank_pink_sheet_monthly_arabica,1979-12-01,4.28
world_bank_pink_sheet_monthly_arabica,1980-01-01,3.81
world_bank_pink_sheet_monthly_arabica,1980-02-01,3.71
world_bank_pink_sheet_monthly_arabica,1980-03-01,4.12
world_bank_pink_sheet_monthly_arabica,1980-04-01,4.05
world_bank_pink_sheet_monthly_arabica,1980-05-01,4.23
world_bank_pink_sheet_monthly_arabica,1980-06-01,4.05
world_bank_pink_sheet_monthly_arabica,1980-07-01,3.52
world_bank_pink_sheet_monthly_arabica,1980-08-01,3.1
world_bank_pink_sheet_monthly_arabica,1980-09-01,2.86
world_bank_pink_sheet_monthly_arabica,1980-10-01,2.84
world_bank_pink_sheet_monthly_arabica,1980-11-01,2.6
world_bank_pink_sheet_monthly_arabica,1980-12-01,2.72
world_bank_pink_sheet_monthly_arabica,1981-01-01,2.89
world_bank_pink_sheet_monthly_arabica,1981-02-01,2.85
world_bank_pink_sheet_monthly_arabica,1981-03-01,2.86
world_bank_pink_sheet_monthly_arabica,1981-04-01,2.89
world_bank_pink_sheet_monthly_arabica,1981-05-01,2.83
world_bank_pink_sheet_monthly_arabica,1981-06-01,2.51
world_bank_pink_sheet_monthly_arabica,1981-07-01,2.67
world_bank_pink_sheet_monthly_arabica,1981-08-01,2.78
world_bank_pink_sheet_monthly_arabica,1981-09-01,2.8
world_bank_pink_sheet_monthly_arabica,1981-10-01,3.02
world_bank_pink_sheet_monthly_arabica,1981-11-01,3.18
world_bank_pink_sheet_monthly_arabica,1981-12-01,3.13
world_bank_pink_sheet_monthly_arabica,1982-01-01,3.18
world_bank_pink_sheet_monthly_arabica,1982-02-01,3.4
world_bank_pink_sheet_monthly_arabica,1982-03-01,3.22
world_bank_pink_sheet_monthly_arabica,1982-04-01,3.12
world_bank_pink_sheet_monthly_arabica,1982-05-01,3.03
world_bank_pink_sheet_monthly_arabica,1982-06-01,3.1
world_bank_pink_sheet_monthly_arabica,1982-07-01,2.94
world_bank_pink_sheet_monthly_arabica,1982-08-01,2.93
world_bank_pink_sheet_monthly_arabica,1982-09-01,3
world_bank_pink_sheet_monthly_arabica,1982-10-01,3.1
world_bank_pink_sheet_monthly_arabica,1982-11-01,3.05
world_bank_pink_sheet_monthly_arabica,1982-12-01,2.97
world_bank_pink_sheet_monthly_arabica,1983-01-01,2.87
world_bank_pink_sheet_monthly_arabica,1983-02-01,2.8
world_bank_pink_sheet_monthly_arabica,1983-03-01,2.76
world_bank_pink_sheet_monthly_arabica,1983-04-01,2.75
world_bank_pink_sheet_monthly_arabica,1983-05-01,2.83
world_bank_pink_sheet_monthly_arabica,1983-06-01,2.81
world_bank_pink_sheet_monthly_arabica,1983-07-01,2.83
world_bank_pink_sheet_monthly_arabica,1983-08-01,2.86
world_bank_pink_sheet_monthly_arabica,1983-09-01,2.92
world_bank_pink_sheet_monthly_arabica,1983-10-01,3.1
world_bank_pink_sheet_monthly_arabica,1983-11-01,3.19
world_bank_pink_sheet_monthly_arabica,1983-12-01,3.23
world_bank_pink_sheet_monthly_arabica,1984-01-01,3.17
world_bank_pink_sheet_monthly_arabica,1984-02-01,3.22
world_bank_pink_sheet_monthly_arabica,1984-03-01,3.27
world_bank_pink_sheet_monthly_arabica,1984-04-01,3.31
world_bank_pink_sheet_monthly_arabica,1984-05-01,3.31
world_bank_pink_sheet_monthly_arabica,1984-06-01,3.25
world_bank_pink_sheet_monthly_arabica,1984-07-01,3.18
world_bank_pink_sheet_monthly_arabica,1984-08-01,3.21
world_bank_pink_sheet_monthly_arabica,1984-09-01,3.14
world_bank_pink_sheet_monthly_arabica,1984-10-01,3.02
world_bank_pink_sheet_monthly_arabica,1984-11-01,3.09
world_bank_pink_sheet_monthly_arabica,1984-12-01,3.1
world_bank_pink_sheet_monthly_arabica,1985-01-01,3.21
world_bank_pink_sheet_monthly_arabica,1985-02-01,3.18
world_bank_pink_sheet_monthly_arabica,1985-03-01,3.26
world_bank_pink_sheet_monthly_arabica,1985-04-01,3.12
world_bank_pink_sheet_monthly_arabica,1985-05-01,3.15
world_bank_pink_sheet_monthly_arabica,1985-06-01,3.13
world_bank_pink_sheet_monthly_arabica,1985-07-01,2.98
world_bank_pink_sheet_monthly_arabica,1985-08-01,2.94
world_bank_pink_sheet_monthly_arabica,1985-09-01,2.94
world_bank_pink_sheet_monthly_arabica,1985-10-01,3.1
world_bank_pink_sheet_monthly_arabica,1985-11-01,3.43
world_bank_pink_sheet_monthly_arabica,1985-12-01,4.34
world_bank_pink_sheet_monthly_arabica,1986-01-01,5.24
world_bank_pink_sheet_monthly_arabica,1986-02-01,5.03
world_bank_pink_sheet_monthly_arabica,1986-03-01,5.28
world_bank_pink_sheet_monthly_arabica,1986-04-01,4.98
world_bank_pink_sheet_monthly_arabica,1986-05-01,4.66
world_bank_pink_sheet_monthly_arabica,1986-06-01,3.9
world_bank_pink_sheet_monthly_arabica,1986-07-01,3.8
world_bank_pink_sheet_monthly_arabica,1986-08-01,3.83
world_bank_pink_sheet_monthly_arabica,1986-09-01,4.4
world_bank_pink_sheet_monthly_arabica,1986-10-01,3.92
world_bank_pink_sheet_monthly_arabica,1986-11-01,3.45
world_bank_pink_sheet_monthly_arabica,1986-12-01,3
world_bank_pink_sheet_monthly_arabica,1987-01-01,2.72
world_bank_pink_sheet_monthly_arabica,1987-02-01,2.66
world_bank_pink_sheet_monthly_arabica,1987-03-01,2.29
world_bank_pink_sheet_monthly_arabica,1987-04-01,2.37
world_bank_pink_sheet_monthly_arabica,1987-05-01,2.59
world_bank_pink_sheet_monthly_arabica,1987-06-01,2.32
world_bank_pink_sheet_monthly_arabica,1987-07-01,2.2
world_bank_pink_sheet_monthly_arabica,1987-08-01,2.25
world_bank_pink_sheet_monthly_arabica,1987-09-01,2.44
world_bank_pink_sheet_monthly_arabica,1987-10-01,2.63
world_bank_pink_sheet_monthly_arabica,1987-11-01,2.79
world_bank_pink_sheet_monthly_arabica,1987-12-01,2.8
world_bank_pink_sheet_monthly_arabica,1988-01-01,2.82
world_bank_pink_sheet_monthly_arabica,1988-02-01,3.05
world_bank_pink_sheet_monthly_arabica,1988-03-01,3.01
world_bank_pink_sheet_monthly_arabica,1988-04-01,3.01
world_bank_pink_sheet_monthly_arabica,1988-05-01,3.06
world_bank_pink_sheet_monthly_arabica,1988-06-01,3.17
world_bank_pink_sheet_monthly_arabica,1988-07-01,3.13
world_bank_pink_sheet_monthly_arabica,1988-08-01,2.92
world_bank_pink_sheet_monthly_arabica,1988-09-01,3.04
world_bank_pink_sheet_monthly_arabica,1988-10-01,2.95
world_bank_pink_sheet_monthly_arabica,1988-11-01,2.98
world_bank_pink_sheet_monthly_arabica,1988-12-01,3.25
world_bank_pink_sheet_monthly_arabica,1989-01-01,3.36
world_bank_pink_sheet_monthly_arabica,1989-02-01,3.09
world_bank_pink_sheet_monthly_arabica,1989-03-01,3.1
world_bank_pink_sheet_monthly_arabica,1989-04-01,3.17
world_bank_pink_sheet_monthly_arabica,1989-05-01,3.1
world_bank_pink_sheet_monthly_arabica,1989-06-01,2.76
world_bank_pink_sheet_monthly_arabica,1989-07-01,1.94
world_bank_pink_sheet_monthly_arabica,1989-08-01,1.73
world_bank_pink_sheet_monthly_arabica,1989-09-01,1.73
world_bank_pink_sheet_monthly_arabica,1989-10-01,1.51
world_bank_pink_sheet_monthly_arabica,1989-11-01,1.56
world_bank_pink_sheet_monthly_arabica,1989-12-01,1.6
world_bank_pink_sheet_monthly_arabica,1990-01-01,1.68
world_bank_pink_sheet_monthly_arabica,1990-02-01,1.85
world_bank_pink_sheet_monthly_arabica,1990-03-01,2.09
world_bank_pink_sheet_monthly_arabica,1990-04-01,2.09
world_bank_pink_sheet_monthly_arabica,1990-05-01,2.05
world_bank_pink_sheet_monthly_arabica,1990-06-01,1.97
