origin,cutoff,historic_context_start,historic_context_end,forecast_month,forecast_horizon_step,actual,point_forecast,interval_80_lower,interval_80_upper,quantile_0_1,quantile_0_2,quantile_0_3,quantile_0_4,quantile_0_5,quantile_0_6,quantile_0_7,quantile_0_8,quantile_0_9,reference_model_id,p1_05_evidence_sha256,publication_label,publication_proxy,vintage_limitation
2026-03-01,2026-02-01,2021-03-01,2026-02-01,2026-03-01,1,7.37,6.886935710906982,6.163783073425293,7.4738593101501465,6.163783073425293,6.442662715911865,6.616128444671631,6.760598182678223,6.886935710906982,7.005409240722656,7.115786552429199,7.2589545249938965,7.4738593101501465,autogluon/chronos-2-small,d87ea4c8d3c0cc4fb2e7fd24174cc24b329fdc58242fc018eb4965db4b11fcf3,revised_workbook_pseudo_real_time,strict_prior_month,"Historical release timestamps and vintages are not available in the preserved workbook. Strict prior-month eligibility is a conservative simulation assumption, not a verified historical publication date; the latest workbook can contain revisions."
2026-03-01,2026-02-01,2021-03-01,2026-02-01,2026-04-01,2,7.3,6.813445091247559,5.801203727722168,7.774694442749023,5.801203727722168,6.168497562408447,6.406956672668457,6.614984035491943,6.813445091247559,7.013454914093018,7.205327987670898,7.442057132720947,7.774694442749023,autogluon/chronos-2-small,d87ea4c8d3c0cc4fb2e7fd24174cc24b329fdc58242fc018eb4965db4b11fcf3,revised_workbook_pseudo_real_time,strict_prior_month,"Historical release timestamps and vintages are not available in the preserved workbook. Strict prior-month eligibility is a conservative simulation assumption, not a verified historical publication date; the latest workbook can contain revisions."
2026-03-01,2026-02-01,2021-03-01,2026-02-01,2026-05-01,3,6.95,6.780915260314941,5.5059990882873535,8.062577247619629,5.5059990882873535,5.998804569244385,6.308587551116943,6.556394577026367,6.780915260314941,7.016395092010498,7.272757053375244,7.597621440887451,8.062577247619629,autogluon/chronos-2-small,d87ea4c8d3c0cc4fb2e7fd24174cc24b329fdc58242fc018eb4965db4b11fcf3,revised_workbook_pseudo_real_time,strict_prior_month,"Historical release timestamps and vintages are not available in the preserved workbook. Strict prior-month eligibility is a conservative simulation assumption, not a verified historical publication date; the latest workbook can contain revisions."
2026-04-01,2026-03-01,2021-04-01,2026-03-01,2026-04-01,1,7.3,7.598629474639893,6.798933982849121,8.150286674499512,6.798933982849121,7.111964702606201,7.300858497619629,7.460395336151123,7.598629474639893,7.718111515045166,7.819615364074707,7.947366237640381,8.150286674499512,autogluon/chronos-2-small,d87ea4c8d3c0cc4fb2e7fd24174cc24b329fdc58242fc018eb4965db4b11fcf3,revised_workbook_pseudo_real_time,strict_prior_month,"Historical release timestamps and vintages are not available in the preserved workbook. Strict prior-month eligibility is a conservative simulation assumption, not a verified historical publication date; the latest workbook can contain revisions."
2026-04-01,2026-03-01,2021-04-01,2026-03-01,2026-05-01,2,6.95,7.54251766204834,6.421602249145508,8.430023193359375,6.421602249145508,6.850715637207031,7.113009452819824,7.334840774536133,7.54251766204834,7.7434000968933105,7.919891357421875,8.135063171386719,8.430023193359375,autogluon/chronos-2-small,d87ea4c8d3c0cc4fb2e7fd24174cc24b329fdc58242fc018eb4965db4b11fcf3,revised_workbook_pseudo_real_time,strict_prior_month,"Historical release timestamps and vintages are not available in the preserved workbook. Strict prior-month eligibility is a conservative simulation assumption, not a verified historical publication date; the latest workbook can contain revisions."
2026-04-01,2026-03-01,2021-04-01,2026-03-01,2026-06-01,3,6.79,7.478859901428223,6.126208305358887,8.713645935058594,6.126208305358887,6.634383678436279,6.961099624633789,7.230582237243652,7.478859901428223,7.727722644805908,7.977338790893555,8.274886131286621,8.713645935058594,autogluon/chronos-2-small,d87ea4c8d3c0cc4fb2e7fd24174cc24b329fdc58242fc018eb4965db4b11fcf3,revised_workbook_pseudo_real_time,strict_prior_month,"Historical release timestamps and vintages are not available in the preserved workbook. Strict prior-month eligibility is a conservative simulation assumption, not a verified historical publication date; the latest workbook can contain revisions."
2026-05-01,2026-04-01,2021-05-01,2026-04-01,2026-05-01,1,6.95,7.420773506164551,6.792604923248291,7.830842018127441,6.792604923248291,7.049956798553467,7.200026512145996,7.321731090545654,7.420773506164551,7.501506328582764,7.568979263305664,7.661000728607178,7.830842018127441,autogluon/chronos-2-small,d87ea4c8d3c0cc4fb2e7fd24174cc24b329fdc58242fc018eb4965db4b11fcf3,revised_workbook_pseudo_real_time,strict_prior_month,"Historical release timestamps and vintages are not available in the preserved workbook. Strict prior-month eligibility is a conservative simulation assumption, not a verified historical publication date; the latest workbook can contain revisions."
2026-05-01,2026-04-01,2021-05-01,2026-04-01,2026-06-01,2,6.79,7.359757900238037,6.442010402679443,8.111469268798828,6.442010402679443,6.788449287414551,6.9979095458984375,7.182828903198242,7.359757900238037,7.529880046844482,7.677005767822266,7.854113578796387,8.111469268798828,autogluon/chronos-2-small,d87ea4c8d3c0cc4fb2e7fd24174cc24b329fdc58242fc018eb4965db4b11fcf3,revised_workbook_pseudo_real_time,strict_prior_month,"Historical release timestamps and vintages are not available in the preserved workbook. Strict prior-month eligibility is a conservative simulation assumption, not a verified historical publication date; the latest workbook can contain revisions."
2026-05-01,2026-04-01,2021-05-01,2026-04-01,2026-07-01,3,7.91,7.252231121063232,6.1204023361206055,8.322713851928711,6.1204023361206055,6.552591800689697,6.8219404220581055,7.0445427894592285,7.252231121063232,7.462141990661621,7.677097320556641,7.936275005340576,8.322713851928711,autogluon/chronos-2-small,d87ea4c8d3c0cc4fb2e7fd24174cc24b329fdc58242fc018eb4965db4b11fcf3,revised_workbook_pseudo_real_time,strict_prior_month,"Historical release timestamps and vintages are not available in the preserved workbook. Strict prior-month eligibility is a conservative simulation assumption, not a verified historical publication date; the latest workbook can contain revisions."
